What make of car do you drive?,What's your favorite state in the Union?,Name a musical instrument you play,What's your favorite pizza topping?,What do you spend most of your time thinking about?,Name something a Schenk does for fun.,Name a Schenk food.,What do you remember best about Grandpa Parley Schenk?,"What do you remember best about Grandma ""Pat"" Schenk?",Where was your favorite Schenk reunion held?
Cadillac,Arizona,Piano ,peppers,Family,4-wheeling,flour mush,Love,Work,Bailey Creek
Cadillac,Hawaii,Piano ,Cheese,Food,Sleep,Caramel popcorn,Farm,smile,
Cadillac ,Idaho,Saxophone,Pepporoni,Family,4-wheeling,flour mush,Poetry,Garden,Bailey Creek
Chevrolet,Hawaii,flute,Pineapple ,Food,Church,flour mush,Stories,Garden,Bailey Creek
Chevrolet,Idaho,Flatulater,Cheese,Home,4-wheeling,Ice Cream,Eyes,Love,Bancroft
Chevrolet,Oregon,flute,Pepporoni,Home,Annie Annie I over ,flour mush,Sense of humor,Hugs,Bailey Creek
Chevrolet,Oregon,flute,Pineapple ,School,TV,rhubarb pie,Coin Toilet Seat,Cooking,Bancroft
Chevrolet,Hawaii,Ukulele,Artichoke ,Todo List,Sing,rhubarb pie,Stories,Back scratches,Challis
Chrysler,Hawaii,Piano ,Ham,Food,Shoot the Flume,flour mush,Smile,Hugs,Pasco WA
Chrysler,Idaho,Violin,Pineapple ,School,4-wheeling,Ham,Hands,Hugs,Bailey Creek
Chrysler,Alaska,,Pepporoni,relaxing/vacation,camp/fish,radish/onion sammy,Hats,Garden,Bancroft
Dodge,Idaho,Radio,Pepporoni,Family,Service,flour mush,Integrity,Love,Pasco WA
Dodge,Idaho,Trumpet,Mushrooms,Family,4-wheeling,flour mush,Whisker Hugs,Cooking,Hooper Springs
Dodge,Idaho,Piano ,Cheese,Family,Visit,flour mush,Whisker Hugs,Cooking,Bancroft
Ford,Idaho,Radio,Sausage,Family,Reunion,flour mush,Hands,smile,Bailey Creek
Ford,Utah,Piano ,Pepporoni,Family,boat/water ski,Scotcharoos,,,Bancroft
Ford,Colorado,Guitar,canadian bacon,Finances,camp/fish,flour mush,Toothpicks,smile,Pasco WA
Ford,Colorado,,Sausage,relaxing/vacation,athletics/sports,Danish pastries,,,
Ford,,Pandora,Olives,relaxing/vacation,Eat,flour mush,Patience,Genuine,Bancroft
